Tooltip_EN = {

	Tooltip_Quince foot 									= " It is a typical Argentine quince tart for breakfast or an afternoon snack.",
	Tooltip_PastafrolaBatata								= " It is a typical Argentine sweet potato tart for breakfast or a snack."
	Tooltip_DiscoEmpanada									= " It is used to make the famous Argentine empanadas from several provinces of the country.",
	Tooltip_TapasEmpanadasPackage							= " Empanada lids are a pack of several discs or lids for making empanadas.",
	Tooltip_Albondiga										= " It is used to prepare various recipes with both spicy and mild sauces and other recipes.",
	Tooltip_EmpanadaCarne									= " Meat empanadas are typical of several provinces with different preparations and ingredients.",
	Tooltip_EmpanadaPollo									= " Chiken empanadas are typical of several provinces with different preparations and ingredients.",
	Tooltip_EmpanadaHumita									= " The empanada humita is made from half a grain of corn on the cob and canned corn cream, with a white sauce made from flour, butter, pepper and a touch of cinnamon. They are widely consumed in the country.",
	Tooltip_EmpanadaCaprese									= " Caprese empanadas are prepared with diced fresh tomatoes, olive oil, mozzarella cubes and basil leaves that give it that very special aroma.",
	Tooltip_EmpanadaJyQ										= " These empanadas are made with ham and mozzarella or fresh cheese. They are widely consumed in Argentina and neighboring countries.",
	Tooltip_PanCasero										= " Homemade bread prepared with animal fat is one of the richest in northern Argentina, baked in a wood-fired clay oven.",
	Tooltip_BombadePapa										= " Potato bombs made from mashed potatoes and corn starch, or better known as cornstarch, are accompanied by various dishes.",
	Tooltip_Medialuna										= " Medialunas are widely consumed for breakfast and snacks with coffee with milk or mate.",
	Tooltip_Chicharron										= " Chicharron is used to prepare homemade bread with chicharron and also for other typical dishes in other neighboring countries.",
	Tooltip_ChicharronPackage								= " It is available in supermarkets to prepare various recipes, but it can also be prepared at home.",
	Tooltip_PanCaseroChicharron								= " The ritual of every Argentine gaucho, faithful companion of mate in the morning, prepared with homemade chicharron, carries many calories.",
	Tooltip_Mondongo										= " Tripe is used to prepare various dishes and stews in Argentina and its cooking is very special.",
	Tooltip_MondongoPackage									= " It is available in butcher shops to prepare recipes and is sold in trays by the kilogram.",
	Tooltip_Miguelitos										= " The miguelitos, known as milk bread, are eaten for breakfast and snacks and are widely consumed.",
