------ 3403180543 ------

RD_000e2e81-9c00-48ac-a322-9b369c0b6f90 = "${t:1.63}类似流感的症状.",
RD_01e490f8-b213-4bb3-ae13-6733154f6e29 = "${t:7.11}如果出现病毒症状, 请自我隔离, 避免外出.",
RD_062ccada-f3a3-4861-8c25-6f70513ecab8 = "${t:2.51}这只不过是一项预防措施, 目的是",
RD_095f1fff-5104-4abd-8117-4deb1a9d8cb8 = "${t:32.71}[img=music][img=music][img=music]",
RD_09c957b1-395b-402a-a559-d2b3c08d80e0 = "${t:4.17}以下行政命令将在全国范围内广播,",
RD_0b2738e6-c92b-41e8-a1fe-dee4bd1c0768 = "${t:2.05}今天早上我们为您带来报道,",
RD_0bc71c8a-f954-4dbf-aa09-ff09b015d6e2 = "${t:60.01}[img=music][img=music][img=music]",
RD_0cad7a60-6f4e-433a-a137-ba616ae5a906 = "${t:2.66}开始出现暴力倾向",
RD_110917ea-71c3-4296-ac89-4b816112f945 = "${t:0.65}...",
RD_1631949c-f9fd-4109-8d30-e9596d12915d = "${t:4.72}外面的气氛只有紧张和恐惧.",
RD_16351054-d720-4d8c-9d82-25944e045a9d = "${t:2.61}[img=music]",
RD_179b873f-946d-4ad8-b012-88252bb41e11 = "${t:4.35}要求罢免总统, 原因是对诺克斯疫情处理不力.",
RD_18b2b326-3fce-457d-9ab9-81f95a4af076 = "${t:2.77}从心底里, 我感到愤怒,",
RD_1918b179-e6cc-4f43-aa6b-a7e1f24dd6d5 = "${t:24.90}[img=music][img=music][img=music]",
RD_197ddd73-7662-41d5-81e0-63b83a58ab60 = "${t:5.00}[img=music]",
RD_19eeab3f-ceaa-410f-9da1-3678392e84c2 = "${t:4.13} \"我没有批准他们进行这项行动, 也没有得到通知,",
RD_1c82e462-b089-476a-b41d-cb8fa8bb7216 = "${t:2.54}以及更多当地警察巡逻.",
RD_1d1bb224-7035-48e7-a267-b4e3e09a1473 = "${t:3.82}我们看到成群的病人试图口头攻击行人.",
RD_1d6d98b2-e5e3-49d5-9e1f-e5efa5e230a2 = "${t:4.81}市民们对昨晚警方发出的诡异广播感到恐惧,",
RD_1f2f1633-3bcb-4ae0-a1ce-c88ad0730adb = "${t:2.88}你必须待在家里,",
RD_1f531e49-cae9-4609-b9d2-2846b15912da = "${t:11.45}[img=music][img=music][img=music]",
RD_227ef182-990a-409f-bd29-ff2a384386c7 = "${t:4.59}许多人试图拆除路障, 随后有人鸣枪警告.",
RD_22b4a025-6455-4c8d-b341-fd4f0f18836a = "${t:39.29}[img=music][img=music][img=music]",
RD_2475a0b4-d33f-4dd4-af06-b1a5126c4b9e = "${t:2.94}我们待在新闻车里, 但用肉眼就能看到",
RD_2699ba70-1ae8-4ad1-8178-bd93cd065c46 = "${t:3.80}诺克斯县目前正在进行大型军事演习.",
RD_29fee5d0-c9f8-455f-9a14-9f306a019ffe = "${t:4.45} \"我们, 嗯, 正在肯塔基州的农村地区进行常规军事演习,",
RD_2a379a08-4428-42b0-ae3d-0fb41c34f74c = "${t:56.50}[img=music][img=music][img=music]",
RD_2cc1e0e2-75ab-4ac3-9238-635813babc18 = "${t:45.00}[img=music][img=music][img=music]",
RD_2f30b9c9-6f9c-4d1a-83e5-41b2d3b11fe2 = "${t:3.39}越来越多的人在远处观望.",
RD_2f7ea072-57f0-4455-b1c2-a5c45539cfc9 = "${t:2.20}见人就攻击.",
RD_3201d6df-4778-486e-bf5c-d4863e428f8c = "${t:3.95}需向当地当局或驻军报告.",
RD_342caafd-1d3b-485b-87a9-6a1e0d6db9d2 = "${t:1.73}[img=music]",
RD_34427d7e-dd65-499b-baea-ead4dc82de0d = "${t:4.86}我注意到远处有三、四、五道烟柱,",
