------ 2969478819 ------

Stash_ISA_Stash_Louisville1_t1 = "明天我们抢劫商店",
Stash_ISA_Stash_Muldraugh1_t1 = "死在里面",
Stash_ISA_Stash_Muldraugh1_t2 = "这是彼得",
Stash_ISA_Stash_RiversideW1_t1 = "看到卡车离开",
Stash_ISA_Stash_RiversideW1_t2 = "他们一定住在附近的一个农场里",
Stash_ISA_Stash_RosewoodE1_t1 = "危险: 幸存者可能正在逃离囚犯",
Stash_ISA_Stash_RosewoodE1_t2 = "邻居的基地被废弃",
Stash_ISA_Stash_Westpoint1_t1 = "欢迎来到",
Stash_ISA_Stash_Westpoint1_t2 = "美味的大脑",
Stash_ISA_Stash_Westpoint1_t3 = "每个城镇都有一个囤积者, 我只需要找到他们住的地方.",

------ 2762398967 ------

Stash_P4StealthCamoMap1_Text1 = "7月6日, Giga超市发生抢劫案.",
Stash_P4StealthCamoMap1_Text2 = "因嫌犯伸手去拿腰带上的装置, 不得已开枪射击.",
Stash_P4StealthCamoMap1_Text3 = "左腿贯通伤较轻, 已送往Rosewood监狱医疗科.",
Stash_P4StealthCamoMap1_Text4 = "嫌犯试图使用的装置详情不明, 但接到政府紧急回收通知.",
Stash_P4StealthCamoMap1_Text5 = "他还有意识, 所以我把他转送到了罗斯伍德监狱的医疗室.",
Stash_P4StealthCamoMap1_Text6 = "另一名嫌疑人的同伙逃往西北方向, 我已通知勃兰登堡警察局.",
Stash_P4StealthCamoMap1_Text7 = "[新增说明]",
Stash_P4StealthCamoMap1_Text8 = "来自路易斯维尔总部的紧急消息: 政府下令立即收回该装置.",
Stash_P4StealthCamoMap2_Text1 = "关于昨日向您汇报的可疑信件一事.",
Stash_P4StealthCamoMap2_Text2 = "收件地址似乎是路易维尔Grand Ohio商场的药店.",
Stash_P4StealthCamoMap2_Text3 = "本想请示部长后联系警方, 目前尚未通报.",
Stash_P4StealthCamoMap2_Text4 = "附言: 这里的店长风评似乎不太好呢...",
Stash_P4StealthCamoMap2_Text5 = "幸运的是, 借助微弱的机器嗡嗡声, 我仍然能看到他, 并设法让他保持在视线范围内.",
Stash_P4StealthCamoMap2_Text6 = "罗斯伍德警察局处境艰难, 我一直收到来自路易斯维尔总部的报告.",
Stash_P4StealthCamoMap2_Text7 = "到底发生了什么?",
Stash_P4StealthCamoMap3_Text1 = "钱已收到, 货藏在Crossroads商场.",
Stash_P4StealthCamoMap3_Text2 = "所谓"藏木于林", 剩下的自己想办法.",
Stash_P4StealthCamoMap3_Text3 = "你这家伙品味真特别, 小心别被条子逮到!",
Stash_P4StealthCamoMap3_Text4 = "- 您亲爱的商业伙伴 -",
Stash_P4StealthCamoMap3_Text5 = "如有必要, 我们可能不得不用武力夺取它…",
Stash_P4StealthCamoMap3_Text6 = "那个该死的混蛋浣熊…他这次真的太过分了.",
Stash_P4StealthCamoMap4_Text1 = "在遥远的西部军事研究所, 有某项最新技术的研发资料.",
Stash_P4StealthCamoMap4_Text2 = "只要得到它, 区区低智商丧尸不足为惧.",
Stash_P4StealthCamoMap4_Text3 = "不论是谁, 请替我给那些夺走我家人的丧尸一点颜色看看...",
Stash_P4StealthCamoMap4_Text4 = "1+1+1=3",
Stash_P4StealthCamoMap4_Text5 = "2+1=3",
Stash_P4StealthCamoMap4_Text6 = "3=Rcp",
Stash_P4StealthCamoMap4_Text7 = "Rcp (3+3)=∞",
Stash_P4StealthCamoMap4_Text8 = "- 3 = Rcp",
Stash_P4StealthCamoMap4_Text9 = "- Rcp (3 + 3) = Inf",
